Gene	chr	start	end	chain	CGC_status	Alias	Gene_illustration	Gene_type	Gene_loci	Ensembl_gene_loci	RefSeq	Pubmed
CTDSP1	chr2	219263061	219269399	+	NA	SCP1,NIF3,NLI-IF,NLIIF,SMALL CTD PHOSPHATASE 1	CTD small phosphatase 1	gene with protein product	2q35	ENSG00000144579	NM_182642|NM_021198	11950066|12721286
RND3	chr2	151331389	151395525	-	NA	ARHE,MEMB,RHO8,RHOE	Rho family GTPase 3	gene with protein product	2q23.3	ENSG00000115963	NM_005168	8649376
JUN	chr1	59246460	59249999	-	CGC OG	AP1,C-JUN,AP-1	Jun proto-oncogene, AP-1 transcription factor subunit	gene with protein product	1p32.1	ENSG00000177606	NM_002228	3194415
MAT2B	chr5	162930120	162946342	+	NA	MAT-II,MATIIBETA,NBLA02999,SDR23E1,TGR,SHORT CHAIN DEHYDROGENASE/REDUCTASE FAMILY 23E, MEMBER 1	methionine adenosyltransferase 2B	gene with protein product	5q34	ENSG00000038274	NM_013283	9055605|10644686|19027726
TRIB2	chr2	12857015	12882860	+	NA	C5FW,GS3955,TRB2	tribbles pseudokinase 2	gene with protein product	2p24.3	ENSG00000071575	NM_021643	12736262|17097562|16715410
MTCO1P12	chr1	566454	567996	+	NA	NA	mitochondrially encoded cytochrome c oxidase I pseudogene 12	pseudogene	1p36.33	ENSG00000237973	NG_046415	
BMI1	chr10	22610140	22620413	+	NA	FLVI-2/BMI-1,FLVI2/BMI1,PCGF4,RNF51	BMI1 proto-oncogene, polycomb ring finger	gene with protein product	10p12.2	ENSG00000168283	NM_005180	8268912
SPRED1	chr15	38544527	38649450	+	NA	HSPRED1,NFLS,PPP1R147,SPRED-1,FLJ33903,PROTEIN PHOSPHATASE 1, REGULATORY SUBUNIT 147	sprouty related EVH1 domain containing 1	gene with protein product	15q14	ENSG00000166068	NM_152594	
CDK13	chr7	39989636	40136733	+	NA	CDC2L,CDC2L5,CHED,HCDK13,KIAA1791	cyclin dependent kinase 13	gene with protein product	7p14.1	ENSG00000065883	NM_003718	1731328|19884882
WEE1	chr11	9595228	9610754	+	NA	WEE1A,WEE1HU	WEE1 G2 checkpoint kinase	gene with protein product	11p15.4	ENSG00000166483	NM_003390	1840647
HEXIM1	chr17	43225869	43229468	+	NA	EDG1,HIS1,MAQ1,CLP-1	hexamethylene bisacetamide inducible 1	gene with protein product	17q21.31	ENSG00000186834	NM_006460	12119119|12832472
CDH11	chr16	64977656	65156101	-	CGC TSG	CAD11,CDHOB,OSF-4,OB-CADHERIN	cadherin 11	gene with protein product	16q21	ENSG00000140937	NM_033664	9615235
ADAMTS1	chr21	28208066	28217728	-	NA	C3-C5,METH1,KIAA1346	ADAM metallopeptidase with thrombospondin type 1 motif 1	gene with protein product	21q21.3	ENSG00000154734	NM_006988	10438512
CCDC80	chr3	112315641	112360116	-	NA	DRO1,OKURIBIN,SSG1,URB,STEROID SENSITIVE GENE 1	coiled-coil domain containing 80	gene with protein product	3q13.2	ENSG00000091986	NM_199511	15325258|18178152
FZD7	chr2	202899310	202903168	+	NA	FZE3	frizzled class receptor 7	gene with protein product	2q33.1	ENSG00000155760	NM_003507	9707618|9813155
FOXC1	chr6	1610207	1614132	+	NA	FKHL7,FREAC-3,FREAC3,IGDA,IHG1,IRID1,RIEG3	forkhead box C1	phenotype only	X			7957066|9620769
BAZ2A	chr12	56989380	57030150	-	NA	TIP5,WALP3,KIAA0314,TTF-I INTERACTING PEPTIDE 5	bromodomain adjacent to zinc finger domain 2A	gene with protein product	12q13.3	ENSG00000076108	NM_013449	10662543|11532953
ARHGEF17	chr11	73019334	73080136	+	NA	P164-RHOGEF,P164RHOGEF,RHOGEF17,TEM4,KIAA0337,TUMOR ENDOTHELIAL MARKER 4	Rho guanine nucleotide exchange factor 17	gene with protein product	11q13.4	ENSG00000110237	NM_014786	11559528|12071859
KLF7	chr2	207938861	208030669	-	NA	UKLF,UBIQUITOUS KRUPPEL-LIKE FACTOR	Kruppel like factor 7	gene with protein product	2q33.3	ENSG00000118263	NM_003709	9774444
PKM2	chr15	72491373	72524163	-	NA	PKM	NA	gene with protein product	15q23	ENSG00000067225	NM_001206796	NA
MSL2	chr3	135867764	135914688	-	NA	MSL-2,MSL2L1,RNF184,FLJ10546,KIAA1585	MSL complex subunit 2	gene with protein product	3q22.3	ENSG00000174579	NM_018133	16227571|16543150
TGFB2	chr1	218519577	218617961	+	NA	G-TSF,LDS4,TGF-BETA2,PREPRO-TRANSFORMING GROWTH FACTOR BETA-2	transforming growth factor beta 2	gene with protein product	1q41	ENSG00000092969	NM_003238	
KLF16	chr19	1852398	1863567	-	NA	BTEB4,DRRF,NSLP2	Kruppel like factor 16	gene with protein product	19p13.3	ENSG00000129911	NM_031918	11438660
CRIM1	chr2	36583069	36778278	+	NA	CRIM-1,S52	cysteine rich transmembrane BMP regulator 1	gene with protein product	2p22.2	ENSG00000150938	NM_016441	10642437
JAG1	chr20	10618332	10654755	-	NA	AGS,AHD,AWS,CD339,HJ1,JAGL1	jagged 1	gene with protein product	20p12.2	ENSG00000101384	NM_000214	7697721|9207788
HNRNPH1	chr5	179047944	179061785	-	NA	HNRNPH,HNRPH,HNRPH1	heterogeneous nuclear ribonucleoprotein H1	gene with protein product	5q35.3	ENSG00000169045	NM_005520	7499401
FAT1	chr4	187508937	187645009	-	CGC TSG	FAT,CDHF7,CDHR8,HFAT1,ME5	FAT atypical cadherin 1	gene with protein product	4q35.2	ENSG00000083857	NM_005245	8586420
BCL2L1	chr20	30252255	30310701	-	NA	BCL-X,BCL-XL/S,BCL2L,BCLX,PPP1R52,BCL-XL,BCL-XS,PROTEIN PHOSPHATASE 1, REGULATORY SUBUNIT 52	BCL2 like 1	gene with protein product	20q11.21	ENSG00000171552	NM_138578	8358789
DLX2	chr2	172964167	172967628	-	NA	TES-1,TES1	distal-less homeobox 2	gene with protein product	2q31.1	ENSG00000115844	NM_004405	1354641
JARID2	chr6	15246527	15522252	+	NA	JMJ	jumonji and AT-rich interaction domain containing 2	gene with protein product	6p22.3	ENSG00000008083	NM_004973	8894700
C10ORF140	chr10	21802407	21814611	-	NA	SKIDA1	NA	gene with protein product	10p12.31	ENSG00000180592	NM_207371	NA
LASP1	chr17	37026112	37078023	+	NA	LASP-1,MLN50	LIM and SH3 protein 1	gene with protein product	17q12	ENSG00000002834	NM_006148	7490069|25622104
NIPBL	chr5	36876861	37066515	+	NA	CDLS,CDLS1,IDN3,IDN3-B,SCC2,DKFZP434L1319,FLJ11203,FLJ12597,FLJ13354,FLJ13648,SISTER CHROMATID COHESION 2 HOMOLOG (YEAST)	NIPBL, cohesin loading factor	gene with protein product	5p13.2	ENSG00000164190	NM_015384	15146186|15146185
ALCAM	chr3	105085753	105295744	+	NA	CD166,MEMD	activated leukocyte cell adhesion molecule	gene with protein product	3q13.11	ENSG00000170017	NM_001627	7760007
AKIRIN2	chr6	88384790	88411927	-	NA	C6ORF166,DJ486L4.2,FLJ10342	akirin 2	gene with protein product	6q15	ENSG00000135334	NM_018064	
ZNF703	chr8	37553269	37557539	+	NA	NLZ1,ZEPPO1,ZNF503L,ZPO1,FLJ14299,ZINC FINGER ELBOW-RELATED PROLINE DOMAIN PROTEIN 1	zinc finger protein 703	gene with protein product	8p11.23	ENSG00000183779	NM_025069	15897872|21317240
YWHAZ	chr8	101928753	101965211	-	NA	KCIP-1,14-3-3-ZETA,HEL-S-3,HEL-S-93,HEL4,YWHAD,HEL-S-93GN	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	gene with protein product	8q22.3	ENSG00000164924	NM_145690	8617504|7890696
TBX5	chr12	114791736	114846247	-	NA	HOS	T-box 5	gene with protein product	12q24.21	ENSG00000089225	NM_080717	8988165|8054982
ZNF462	chr9	109625378	109775915	+	NA	ZFP462,DKFZP762N2316,KIAA1803	zinc finger protein 462	gene with protein product	9q31.2	ENSG00000148143	NM_021224	
SAMD4A	chr14	55034330	55260033	+	NA	SMG,SAMD4,SMAUG,SMAUG1,SMGA,DKFZP434H0350,HSMAUG1,KIAA1053	sterile alpha motif domain containing 4A	gene with protein product	14q22.2	ENSG00000020577	NM_015589	16221671
CDC42EP3	chr2	37873627	37965611	-	NA	BORG2,CEP3,UB1,BINDER OF RHO GTPASES 2	CDC42 effector protein 3	gene with protein product	2p22.2	ENSG00000163171	NM_006449	9535835|11035016
SPRED2	chr2	65537985	65659311	-	NA	SPRED-2,FLJ21897,FLJ31917	sprouty related EVH1 domain containing 2	gene with protein product	2p14	ENSG00000198369	NM_001128210	
TLE3	chr15	70340129	70390515	-	NA	ESG3,GRG3,HST18976,KIAA1547	transducin like enhancer of split 3	gene with protein product	15q23	ENSG00000140332	NM_005078	8365415
BMPR2	chr2	203241659	203432474	+	NA	BMPR-II,BMPR3,BMR2,BRK-3,POVD1,PPH1,T-ALK	bone morphogenetic protein receptor type 2	gene with protein product	2q33.1-q33.2	ENSG00000204217	NM_001204	7791754
IGF1R	chr15	99192200	99507759	+	NA	CD221,IGFIR,IGFR,JTK13,MGC18216	insulin like growth factor 1 receptor	gene with protein product	15q26.3	ENSG00000140443	NM_000875	1316909
MLLT6	chr17	36861795	36886056	+	NA	AF17,FLJ23480,TRITHORAX HOMOLOG	MLLT6, PHD finger containing	gene with protein product	17q12	ENSG00000275023	NM_005937	8058765|21546577
TOB2	chr22	41829496	41843027	-	NA	APRO5,TOB4,TOBL,TROB2,BK223H9,KIAA1663	transducer of ERBB2, 2	gene with protein product	22q13.2	ENSG00000183864	NM_016272	10602502|10591208
ZFAND5	chr9	74966341	74979508	-	NA	ZA20D2,ZFAND5A,ZNF216	zinc finger AN1-type containing 5	gene with protein product	9q21.13	ENSG00000107372	NM_001102420	9758550
ZSWIM6	chr5	60628100	60841997	+	NA	AFND,KIAA1577	zinc finger SWIM-type containing 6	gene with protein product	5q12.1	ENSG00000130449	NM_020928	10997877|16427614
PAWR	chr12	79978654	80084877	-	NA	PAR-4,PROSTATE APOPTOSIS RESPONSE-4	pro-apoptotic WT1 regulator	gene with protein product	12q21.2	ENSG00000177425	NM_002583	8943350|9790775
ZMIZ1	chr10	80828792	81076276	+	NA	MIZ,HZIMP10,RAI17,TRAFIP10,ZIMP10,FLJ13541,KIAA1224,RP11-519K18.1	zinc finger MIZ-type containing 1	gene with protein product	10q22.3	ENSG00000108175	NM_020338	15626329
HSPA8	chr11	122928197	122933043	-	NA	HEL-S-72P,HSC54,HSC70,HSC71,HSP71,HSP73,HSPA10,LAP-1,NIP71	heat shock protein family A (Hsp70) member 8	gene with protein product	11q24.1	ENSG00000109971	NM_006597	8530083|3037489
FOXP1	chr3	71003844	71633140	-	CGC OG	12CC4,HFKH1B,HSPC215,MFH,QRF1,PAX5/FOXP1 FUSION PROTEIN	forkhead box P1	gene with protein product	3p13	ENSG00000114861	NM_032682	8265594|11751404
HNRNPD	chr4	83273651	83295109	-	NA	P37,AUF1,AUF1A,HNRNPD0,HNRPD	heterogeneous nuclear ribonucleoprotein D	gene with protein product	4q21.22	ENSG00000138668	NM_031370	9615222
NRP2	chr2	206547224	206662857	+	NA	NELL2,NP2,NPN2,PRO2714,VEGF165R2	neuropilin 2	gene with protein product	2q33.3	ENSG00000118257	NM_003872	9529250|9331348
TLE4	chr9	82186688	82341797	+	NA	BCE-1,BCE1,E(SPI),ESG4,GRG-4,GRG4,KIAA1261	transducin like enhancer of split 4	gene with protein product	9q21.31	ENSG00000106829	XM_212237	8365415
SMAD6	chr15	66994566	67075186	+	NA	AOVD2,HST17432,MADH6	SMAD family member 6	gene with protein product	15q22.31	ENSG00000137834	NM_005585	9256479
TRA2B	chr3	185633694	185655924	-	NA	HTRA2-BETA,PPP1R156,SFRS10,SRFS10,TRA2-BETA,TRAN2B	transformer 2 beta homolog	gene with protein product	3q27.2	ENSG00000136527	NM_004593	9790768
OSR1	chr2	19551246	19558414	-	NA	OXSR1,OSER1,ODD	odd-skipped related transciption factor 1	gene with protein product	3p22.2	ENSG00000172939	NM_005109	2120051|12119563
VEGFA	chr6	43737946	43754221	+	NA	MVCD1,VEGF,VPF,VEGF-A	vascular endothelial growth factor A	gene with protein product	6p21.1	ENSG00000112715	NM_001025366	8786112
PBX1	chr1	164528872	164821068	+	CGC OG	PRL	PBX homeobox 1	gene with protein product	6p22.3	ENSG00000172179	NM_000948	
JUNB	chr19	12902310	12904129	+	NA	RNASEH2A	JunB proto-oncogene, AP-1 transcription factor subunit	gene with protein product	19p13.13	ENSG00000104889	NM_006397	2513129
STIM2	chr4	26862313	27027003	+	NA	NA	stromal interaction molecule 2	gene with protein product	4p15.2	ENSG00000109689	NM_020860	11463338
C6ORF62	chr6	24705089	24721064	-	NA	DJ30M3.2,NBLA00237,XTP12,DKFZP564G182,FLJ12619,HBV X-TRANSACTIVATED PROTEIN 12	chromosome 6 open reading frame 62	gene with protein product	6p22.3	ENSG00000112308	NM_030939	11230166
DUSP4	chr8	29190581	29208185	-	NA	HVH2,MKP-2,MKP2,TYP,VH2,MAP KINASE PHOSPHATASE 2	dual specificity phosphatase 4	gene with protein product	8p12	ENSG00000120875	NM_001394	7535768|9205128
LZTS2	chr10	102756829	102767593	+	NA	LAPSER1,KIAA1813	leucine zipper tumor suppressor 2	gene with protein product	10q24.31	ENSG00000107816	XM_046743	11347906|11709705|18490357
CCNL1	chr3	156864297	156878549	-	NA	MCM2,ANIA-6A,ANIA6A,BM-001	cyclin L1	gene with protein product	3q21.3	ENSG00000073111	NM_004526	11980906
FDFT1	chr8	11653082	11696813	+	NA	ERG9,SQS,SQUALENE SYNTHASE	farnesyl-diphosphate farnesyltransferase 1	gene with protein product	8p23.1	ENSG00000079459	NM_001287742	
C3ORF58	chr3	143691479	143767561	+	NA	DIA1,GOPRO49,HASF,MGC33365,HYPOXIA AND AKT INDUCED STEM CELL FACTOR	chromosome 3 open reading frame 58	gene with protein product	3q24	ENSG00000181744	NM_173552	21283809|23784961|24269490
C17ORF59	chr17	8091652	8093564	-	NA	BORCS6	NA	gene with protein product	17p13.1	ENSG00000196544	NM_017622	NA
PURB	chr7	44915892	44924960	-	NA	PURBETA	purine rich element binding protein B	gene with protein product	7p13	ENSG00000146676	NM_033224	1448097
ACTB	chr7	5568223	5603415	-	NA	BRWS1,PS1TP5BP1,POTEF	actin beta	gene with protein product	2q21.1	ENSG00000196604	NM_001099771	1505215
LRP1	chr12	57522282	57607134	+	NA	A2MR,APOER,APR,CD91,IGFBP3R,LRP1A,TGFBR5,C1D	LDL receptor related protein 1	gene with protein product	12q13.3	ENSG00000123384	NM_002332	2548950
EFNA5	chr5	106712590	107006596	-	NA	AF1,EFL5,EPLG7,GLC1M,LERK7,RAGS	ephrin A5	phenotype only	5q			8661153|9245480
NAB2	chr12	57482677	57489259	+	CGC TSG	MADER,EGR1 BINDING PROTEIN 2	NGFI-A binding protein 2	gene with protein product	12q13.3	ENSG00000166886	NM_005967	8668170|8649813
KLF3	chr4	38665817	38702663	+	NA	BKLF,BASIC KRUPPEL-LIKE FACTOR	Kruppel like factor 3	gene with protein product	4p14	ENSG00000109787	NM_016531	18391014
SOS1	chr2	39208537	39348192	-	NA	GGF1,GINGF,NS4	SOS Ras/Rac guanine nucleotide exchange factor 1	gene with protein product	2p22.1	ENSG00000115904	NM_005633	8276400|10995566
CDKN1B	chr12	12867992	12874138	+	CGC TSG	CDKN4,KIP1,MEN1B,MEN4,P27KIP1	cyclin dependent kinase inhibitor 1B	gene with protein product	12p13.1	ENSG00000111276	NM_004064	8033212
MICA	chr6	31367561	31383090	+	NA	MIC-A,PERB11.1,HLA-B	MHC class I polypeptide-related sequence A	gene with protein product	6p21.33	ENSG00000204520	NM_001177519	8022771
APOLD1	chr12	12878863	12982909	+	NA	VERGE,DKFZP434F0318,FLJ25138	apolipoprotein L domain containing 1	gene with protein product	12p13.1	ENSG00000178878	NM_030817	11230166
NNMT	chr11	114128553	114184007	+	NA	NA	nicotinamide N-methyltransferase	gene with protein product	11q23.1	ENSG00000166741	NM_006169	8575745
NUDT4	chr12	93771659	93801922	+	NA	DIPP2,DIPP2ALPHA,DIPP2BETA,HDCMB47P,KIAA0487,DIPHOSPHOINOSITOL POLYPHOSPHATE PHOSPHOHYDROLASE TYPE 2	nudix hydrolase 4	gene with protein product	12q22	ENSG00000173598	NM_019094	10777568|11376937
HIVEP1	chr6	12012571	12165232	+	NA	CIRIP,CRYBP1,MBP-1,PRDII-BF1,SCHNURRI-1,ZAS1,ZNF40,ZNF40A	human immunodeficiency virus type I enhancer binding protein 1	gene with protein product	6p24.1	ENSG00000095951	NM_002114	2037300
ARF6	chr14	50359810	50363772	+	NA	NA	ADP ribosylation factor 6	gene with protein product	14q21.3	ENSG00000165527	NM_001663	1993656|10343114
NFIA	chr1	61330931	61921197	+	NA	NF-I/A,NF1-A,NFI-A,NFI-L,KIAA1439	nuclear factor I A	gene with protein product	1p31.3	ENSG00000162599	NM_005595	7590749
VCPIP1	chr8	67540722	67579452	-	NA	DUBA3,VCIP135,FLJ23132,KIAA1850	valosin containing protein interacting protein 1	gene with protein product	8q13.1	ENSG00000175073	NM_025054	11347906|12509440
PCDH10	chr4	134076048	134129761	+	NA	OL-PCDH,PCDH19,KIAA1400	protocadherin 10	gene with protein product	Xq22.1	ENSG00000165194	NM_020766	10835267
MAT2A	chr2	85766288	85772403	+	NA	MATA2,MATII,SAMS2,AMS2	methionine adenosyltransferase 2A	gene with protein product	2p11.2	ENSG00000168906	NM_005911	1426236|9703951
SPARC	chr5	151040657	151066726	-	NA	BM-40,OI17,ON	secreted protein acidic and cysteine rich	gene with protein product	5q33.1	ENSG00000113140	NM_003118	2838412|3410046
PTGER4	chr5	40679600	40693837	+	NA	EP4,EP4R,PTGER2	prostaglandin E receptor 4	gene with protein product	5p13.1	ENSG00000171522	NM_000958	7759114|8661119
SIX1	chr14	61111414	61124977	-	CGC OG	BOS3,DFNA23	SIX homeobox 1	gene with protein product	14q23.1	ENSG00000126778	NM_005982	8617500|15141091
SMARCA2	chr9	2015186	2193620	+	NA	BRM,HBRM,HSNF2A,NCBRS,SNF2L2,SNF2LA,STH1P,BAF190B,SNF2A	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	gene with protein product	9p24.3	ENSG00000080503	NM_003070	8012116
BCL2L11	chr2	111878491	111926022	+	NA	BIM,BOD,BIMEL,BIML,BIMS	BCL2 like 11	gene with protein product	2q13	ENSG00000153094	NM_001204106	9731710|9430630
CAV1	chr7	116164839	116201230	+	NA	CAV,BSCL3,CGL3,LCCNS,MSTP085	caveolin 1	gene with protein product	7q31.2	ENSG00000105974	NM_001753	10087206
LAMC1	chr1	182992595	183114727	+	NA	LAMB2	laminin subunit gamma 1	gene with protein product	1q25.3	ENSG00000135862	NM_002293	3234037
MLL2	chr19	36208921	36229779	+	NA	KMT2B,KMT2D	NA	gene with protein product	19q13.12	ENSG00000272333	NM_014727	NA
NRIP1	chr21	16333556	16437321	-	NA	RIP140,NUCLEAR FACTOR RIP140	nuclear receptor interacting protein 1	gene with protein product	21q11.2-q21.1	ENSG00000180530	NM_003489	7641693|9521594
MAMLD1	chrX	149531551	149682448	+	NA	CXORF6,F18,HYSP2	mastermind like domain containing 1	gene with protein product	Xq28	ENSG00000013619	NM_005491	9169146|17086185|18162467
CSDA	chr12	10851688	10875906	-	NA	YBX3	NA	gene with protein product	12p13.2	ENSG00000060138	NM_003651	NA
SPRY1	chr4	124317950	124324915	+	NA	HSPRY1	sprouty RTK signaling antagonist 1	gene with protein product	4q28.1	ENSG00000164056	NM_001258038	9458049|15962011
TENC1	chr12	53440753	53458156	+	NA	TNS2	NA	gene with protein product	12q13.13	ENSG00000111077	NM_170754	NA
ID3	chr1	23884409	23886285	-	CGC TSG	BHLHB25,HEIR-1,1R21,HEIR1,INHIBITOR OF DIFFERENTIATION 3	inhibitor of DNA binding 3, HLH protein	gene with protein product	1p36.12	ENSG00000117318	NM_002167	1628620
KDM5B	chr1	202693619	202778598	-	NA	CT31,JARID1B,PLU-1,PLU1,PPP1R98,PUT1,RBBP2H1A,RBP2-H1,RBBP2H1	lysine demethylase 5B	gene with protein product	1q32.1	ENSG00000117139	NM_006618	11483573|11478881
DR1	chr1	93811445	93835055	+	NA	NC2,NC2-BETA,NC2B,DKFZP666G145,NEGATIVE COFACTOR 2 BETA	down-regulator of transcription 1	gene with protein product	1p22.1	ENSG00000117505	NM_001938	1339312|9040789
DHRS3	chr1	12627939	12677737	-	NA	DD83.1,RDH17,RETSDR1,RSDR1,SDR16C1,SHORT CHAIN DEHYDROGENASE/REDUCTASE FAMILY 16C, MEMBER 1	dehydrogenase/reductase 3	gene with protein product	1p36.21	ENSG00000162496	NM_004753	9705317|12226107|19027726
PCF11	chr11	82868030	82898493	+	NA	KIAA0824	PCF11 cleavage and polyadenylation factor subunit	gene with protein product	11q14.1	ENSG00000165494	NM_015885	11060040
CNN3	chr1	95362507	95392834	-	NA	NA	calponin 3	gene with protein product	1p21.3	ENSG00000117519	NM_001839	8526917
TRIO	chr5	14143811	14510313	+	NA	ARHGEF23,MEBAS,MRD44,TGAT	trio Rho guanine nucleotide exchange factor	gene with protein product	5p15.2	ENSG00000038382	NM_007118	8643598
CFLAR	chr2	201980827	202041410	+	NA	C-FLIP,C-FLIPL,C-FLIPR,C-FLIPS,CASH,CASP8AP1,CASPER,CLARP,FLAME,FLAME-1,FLAME1,FLIP,I-FLICE,MRIT	CASP8 and FADD like apoptosis regulator	gene with protein product	2q33.1	ENSG00000003402	NM_003879	9208847|9217161
BMP4	chr14	54416454	54423529	-	NA	BMP2B,BMP2B1,MCOPS6,OFC11,ZYME,DVR4	bone morphogenetic protein 4	gene with protein product	14q22.2	ENSG00000125378	NM_001202	7558046|7579580
ZC3H4	chr19	47567444	47617009	-	NA	C19ORF7,KIAA1064	zinc finger CCCH-type containing 4	gene with protein product	19q13.33	ENSG00000130749	NM_015168	
CXXC5	chr5	139027877	139063467	+	NA	CF5,HSPC195,RINF,WID,WT1-INDUCED INHIBITOR OF DISHEVELLED	CXXC finger protein 5	gene with protein product	5q31.2	ENSG00000171604	NM_016463	11042152|19001364|19182210|20220130
GLS	chr2	191745553	191830278	+	NA	AAD20,GAC,GAM,GLS1,GLS2,KIAA0838	glutaminase	gene with protein product	12q13.3	ENSG00000135423	NM_013267	10048485
SEPT11	chr4	77870962	77961537	+	NA	FLJ10849	septin 11	gene with protein product	4q21.1	ENSG00000138758	NM_018243	14999297|15140406
PTPRG	chr3	61547585	62283288	+	NA	HPTPG,PTPG,R-PTP-GAMMA,RPTPG	protein tyrosine phosphatase, receptor type G	gene with protein product	3p14.2	ENSG00000144724	NM_002841	1711217
FUBP1	chr1	78412167	78444771	-	CGC OG	FUBP,HDH V	far upstream element binding protein 1	gene with protein product	1p31.1	ENSG00000162613	NM_003902	8125259
MIDN	chr19	1248552	1259139	+	NA	NA	midnolin	gene with protein product	19p13.3	ENSG00000167470	NM_177401	10974535
SOX9	chr17	70117161	70122561	+	NA	CMD1,CMPD1,SRXX2,SRXY10	SRY-box 9	gene with protein product	17q24.3	ENSG00000125398	NM_000346	8348155
CD44	chr11	35160417	35253949	+	NA	CDW44,CSPG8,ECMR-III,HCELL,HUTCH-I,IN,LHR,MC56,MDU2,MDU3,MIC4,PGP1,CD44R	CD44 molecule (Indian blood group)	gene with protein product	11p13	ENSG00000026508	NM_000610	2454887
UGCG	chr9	114659046	114697649	+	NA	CERAMIDE GLUCOSYLTRANSFERASE	UDP-glucose ceramide glucosyltransferase	gene with protein product	9q31.3	ENSG00000148154	NM_003358	8643456|9605861
NFE2L2	chr2	178095036	178257425	-	CGC TSG/OG	NRF2,HEBP1,NF-E2-RELATED FACTOR 2	nuclear factor, erythroid 2 like 2	gene with protein product	2q31.2	ENSG00000116044	NM_006164	7937919
ZBTB7A	chr19	4044362	4066943	-	NA	FBI-1,FBI1,LRF,POKEMON,TIP21,ZBTB7,ZNF857A,DKFZP547O146	zinc finger and BTB domain containing 7A	gene with protein product	19p13.3	ENSG00000178951	NM_015898	9973611|9927193
ATP2A2	chr12	110718921	110788895	+	NA	DAR,ATP2B,SERCA2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	gene with protein product	12q24.11	ENSG00000174437	NM_001681	10080178
FOXC2	chr16	86600857	86603334	+	NA	FKHL14,MFH-1,MFH1	forkhead box C2	gene with protein product	16q24.1	ENSG00000176692	NM_005251	9169153|8674414
PCDH18	chr4	138440072	138453629	-	NA	PCDH68L,KIAA1562	protocadherin 18	gene with protein product	4q28.3	ENSG00000189184	NM_019035	10835267|11549318
